gene	log2FC	padj	dataset
MORF4L2	-0.803432547621318	7.88814300370004e-17	NEW_GSE94335
PPP1CB	-0.8054806717206	9.52479357517442e-17	NEW_GSE94335
EXT1	0.897186402520543	9.52479357517442e-17	NEW_GSE94335
CORO6	-2.42007482917987	1.21033043180582e-16	NEW_GSE94335
COX11	-0.902130513173979	1.24032861281731e-16	NEW_GSE94335
SEMA3A	1.41699153387093	1.91049504482715e-16	NEW_GSE94335
FAM107B	1.61943599125314	2.35911678132252e-16	NEW_GSE94335
TACC1	-1.12127041801458	2.84944958461278e-16	NEW_GSE94335
CD302	-0.815816023316235	2.96413451369594e-16	NEW_GSE94335
SEMA3A	1.268351358145	3.9191529980675e-16	NEW_GSE94335
FSTL3	-1.08242420177784	5.22740344631524e-16	NEW_GSE94335
PID1	-0.981351073525267	5.98681005068894e-16	NEW_GSE94335
SERBP1	-4.66325490032435	5.98681005068894e-16	NEW_GSE94335
SSX2IP	1.76992549960662	6.3169721292992e-16	NEW_GSE94335
SCD	1.79589813022867	7.02936005460737e-16	NEW_GSE94335
NA	1.06528221754521	9.36820757386101e-16	NEW_GSE94335
STOM	-0.882496050681897	9.55086248760833e-16	NEW_GSE94335
ERRFI1	-1.466925796699	1.13851552944081e-15	NEW_GSE94335
METTL7A	-1.36376826526304	1.34314630174805e-15	NEW_GSE94335
DUSP1	-1.48546262825597	1.95254237103557e-15	NEW_GSE94335
PMP22	-0.777856441397429	1.99283331619989e-15	NEW_GSE94335
LIF	1.82858213448286	2.38530396950044e-15	NEW_GSE94335
CD44	0.915378679058288	3.46724610273563e-15	NEW_GSE94335
APBB2	-0.842375111813772	5.43874939149534e-15	NEW_GSE94335
NA	0.755000466102703	5.45692760883901e-15	NEW_GSE94335
SUN2	-1.70383021442053	5.85469827311252e-15	NEW_GSE94335
ZCCHC6	-0.792260024285724	6.53575076998016e-15	NEW_GSE94335
SLC16A4	1.06880225467175	7.10352007287073e-15	NEW_GSE94335
PRRX1	0.90393017097955	7.13945627711356e-15	NEW_GSE94335
ST8SIA1	1.42015857979456	7.64584922260995e-15	NEW_GSE94335
C9orf72	-1.25176530729569	8.53732273171522e-15	NEW_GSE94335
PHC2	-1.36712311662889	9.37341826166745e-15	NEW_GSE94335
SLC7A8	-3.40395768469668	1.08381797739646e-14	NEW_GSE94335
IL16	-1.30296899015072	1.26806495732679e-14	NEW_GSE94335
SYTL2	1.86178822243911	1.2883285767845e-14	NEW_GSE94335
ZCCHC6	-1.11899900132055	1.74147896915125e-14	NEW_GSE94335
CD44	0.914043171398752	1.93000856986908e-14	NEW_GSE94335
PRSS23	1.05476374120902	2.13139069792468e-14	NEW_GSE94335
ZFAND5	-0.847327550157874	2.24882678748403e-14	NEW_GSE94335
RARRES3	0.946777138138433	2.30004513855965e-14	NEW_GSE94335
UBASH3B	-1.02486156236394	2.33642652317627e-14	NEW_GSE94335
PPTC7	-0.783064885898723	2.92505622557985e-14	NEW_GSE94335
ZFAND5	-0.8062426760464	3.29206533670943e-14	NEW_GSE94335
ANGPTL1	-1.75507002594142	3.52264129786151e-14	NEW_GSE94335
LAMA3	-6.55817368770219	5.75639612948051e-14	NEW_GSE94335
NEIL3	1.72567161145188	5.77566211814254e-14	NEW_GSE94335
QPRT	0.802735879748247	6.71348973193276e-14	NEW_GSE94335
NA	0.878750680939875	6.71348973193276e-14	NEW_GSE94335
EXOSC10	-0.73738148706186	6.75346658268114e-14	NEW_GSE94335
MMP7	-4.06297406324628	6.87448755318655e-14	NEW_GSE94335
GPM6B	-1.69337459256796	7.49011062464541e-14	NEW_GSE94335
FAM43A	-1.36013870030064	8.06361715164754e-14	NEW_GSE94335
HSD11B1	-1.77387736194439	8.32411826027478e-14	NEW_GSE94335
HRH1	1.12746308223431	8.86650992471678e-14	NEW_GSE94335
PCDH18	0.778628645968641	9.04121934226271e-14	NEW_GSE94335
GPM6B	-1.91348687125373	9.18725819263369e-14	NEW_GSE94335
HPSE	-1.48879557777398	1.03787668345448e-13	NEW_GSE94335
MT2A	-1.44873597160764	1.10565965032239e-13	NEW_GSE94335
SOCS5	0.770422418542779	1.19129870443889e-13	NEW_GSE94335
FOXO3	-0.736782807879805	1.22184914089808e-13	NEW_GSE94335
NA	-1.10720618797589	1.61276261949204e-13	NEW_GSE94335
CSRP2	1.21560214768847	1.71251566340001e-13	NEW_GSE94335
PNPLA2	-1.06650890334611	1.84727649999799e-13	NEW_GSE94335
TBL1XR1	0.711723694306855	2.06064112915624e-13	NEW_GSE94335
PDE4D	-0.986433517094703	2.13770574666087e-13	NEW_GSE94335
LIMA1	0.929574985746207	2.38828513127183e-13	NEW_GSE94335
PDGFC	0.74973157431814	2.44807487271945e-13	NEW_GSE94335
FAM46B	-1.71691914574579	2.51135744956357e-13	NEW_GSE94335
SSB	-3.16424679711541	3.92161593264609e-13	NEW_GSE94335
CALCOCO2	-0.706878174345861	3.94516550947644e-13	NEW_GSE94335
PAWR	-0.98623516274579	4.09222895001543e-13	NEW_GSE94335
ADAMTS1	-1.34357522241701	4.19933600681637e-13	NEW_GSE94335
FZD5	-1.33119211469069	4.24013873221266e-13	NEW_GSE94335
ANGPTL1	-1.95762889234669	4.43623477872969e-13	NEW_GSE94335
PAK1	-0.857113056961641	5.10615264515228e-13	NEW_GSE94335
CYP2C18	-4.13475796274037	5.17391355213395e-13	NEW_GSE94335
USP53	-1.02008766159606	5.54929750065439e-13	NEW_GSE94335
MAN1A1	-0.826818029183831	5.54929750065439e-13	NEW_GSE94335
MORF4L2	-0.910050283372461	5.66442954858965e-13	NEW_GSE94335
TRNP1	-1.55293258439822	5.87720946207618e-13	NEW_GSE94335
MSX2	1.179779193943	6.21926359638659e-13	NEW_GSE94335
IRS2	-1.11015480634171	6.94001478887919e-13	NEW_GSE94335
SLC16A4	1.26326867974442	9.73098023493592e-13	NEW_GSE94335
NEBL	-2.83184732456553	1.22023791477095e-12	NEW_GSE94335
GBP2	0.693731656104475	1.59116196952193e-12	NEW_GSE94335
MARCH10	-4.36697297295215	1.59836594853255e-12	NEW_GSE94335
RELL1	-0.93224387971538	1.60984629991684e-12	NEW_GSE94335
ARHGAP29	-0.720042159410538	1.90420317951253e-12	NEW_GSE94335
LDB2	1.10126344902414	2.03802509037187e-12	NEW_GSE94335
SSX2IP	1.83767946633007	2.21259819659331e-12	NEW_GSE94335
ZHX3	-0.887234922747255	2.46375635666554e-12	NEW_GSE94335
ZBTB16	-5.61206394266045	2.46375635666554e-12	NEW_GSE94335
XRCC5	-4.73594473313125	2.5388273439453e-12	NEW_GSE94335
SH3D19	-0.930071379552843	2.65154595018892e-12	NEW_GSE94335
GPX3	-4.76251895126276	2.65154595018892e-12	NEW_GSE94335
MTHFD2	-1.56661097824458	2.72254527093418e-12	NEW_GSE94335
CPPED1	-0.801541464725666	2.82912025995666e-12	NEW_GSE94335
PKP4	0.789487007938934	2.86384158597327e-12	NEW_GSE94335
TARDBP	0.804808113167051	2.86384158597327e-12	NEW_GSE94335
MICAL2	-0.987285569288605	3.02361256187034e-12	NEW_GSE94335
ITGA10	-3.3261451357336	3.05936428769857e-12	NEW_GSE94335
PRDM1	-1.93628097498048	3.20876412872686e-12	NEW_GSE94335
IL1R1	1.22626869152374	3.26605297212985e-12	NEW_GSE94335
RASL11A	-1.38477451900213	3.30736968011498e-12	NEW_GSE94335
CDH6	1.04287335303607	3.30736968011498e-12	NEW_GSE94335
ANGPTL7	-4.1009907498291	3.59744959574563e-12	NEW_GSE94335
WARS	1.16473813238735	3.71690482143581e-12	NEW_GSE94335
GPR126	-1.44369252618246	4.02793079707696e-12	NEW_GSE94335
DDI2	-0.726033580187126	4.08531793468931e-12	NEW_GSE94335
ZFAND5	-0.814653303964108	4.25353474107932e-12	NEW_GSE94335
CRISPLD2	-3.79241675727984	4.98695613364017e-12	NEW_GSE94335
HSPA12A	0.80270182800453	5.7383736720053e-12	NEW_GSE94335
PPM1B	-0.767439251485639	5.79264474081598e-12	NEW_GSE94335
SLCO3A1	0.733622822012756	5.93507848714602e-12	NEW_GSE94335
ADAMTS1	-1.81921730857417	6.30303883338767e-12	NEW_GSE94335
GPX3	-2.44894998398011	6.5072155549378e-12	NEW_GSE94335
COL28A1	-3.63416415129392	6.96597007312672e-12	NEW_GSE94335
TIPARP	-0.822283488851859	6.99504440573974e-12	NEW_GSE94335
SLC6A9	2.01963377084473	7.19403517717918e-12	NEW_GSE94335
C4orf46	0.835981509745103	8.08828908935671e-12	NEW_GSE94335
RASEF	2.64321690111549	8.14480910475501e-12	NEW_GSE94335
FAM198B	-1.16978478120497	8.24185283314272e-12	NEW_GSE94335
ANGPTL1	-1.45351654897134	8.74025609278284e-12	NEW_GSE94335
CTH	-1.42265107694148	8.92213821903083e-12	NEW_GSE94335
SLC5A3	1.506876186879	9.43391412858188e-12	NEW_GSE94335
NFIL3	-0.787619763519159	1.01120174877428e-11	NEW_GSE94335
PER2	1.1989670975688	1.21452880453323e-11	NEW_GSE94335
EXT1	0.810681673545901	1.26337183802023e-11	NEW_GSE94335
EZR	-0.9608550425141	1.41543522657973e-11	NEW_GSE94335
FAM46C	1.31738817826234	1.44148150146269e-11	NEW_GSE94335
PDE5A	1.08069417213336	1.44148150146269e-11	NEW_GSE94335
TSC22D3	-1.73867430053457	1.52505461767231e-11	NEW_GSE94335
CELF2	-0.883231164741403	1.52983883525476e-11	NEW_GSE94335
RPS6KA2	-0.701787321596362	1.63179362934503e-11	NEW_GSE94335
MTHFD1L	1.22151324631206	1.82772791882978e-11	NEW_GSE94335
OSBPL1A	1.12315818984238	1.84384276478145e-11	NEW_GSE94335
BHLHE40	1.9917472677101	1.98280153388697e-11	NEW_GSE94335
ITPR1	-0.949370333718883	1.99981237298616e-11	NEW_GSE94335
ALPK3	-1.35733618400944	2.05751701592117e-11	NEW_GSE94335
SLC7A6	-1.08640820518523	2.05751701592117e-11	NEW_GSE94335
APBB2	-0.768836076644298	2.15917707614176e-11	NEW_GSE94335
EIF4EBP2	-0.668838964175195	2.47299801769783e-11	NEW_GSE94335
P2RX7	1.40220865527192	2.80255914397286e-11	NEW_GSE94335
AKAP13	-1.07339540785368	2.97935221180061e-11	NEW_GSE94335
ARSG	-0.774376182922788	3.09219705365556e-11	NEW_GSE94335
SHB	0.868154514863593	3.19231974551265e-11	NEW_GSE94335
FGF5	0.808727468196365	4.22891915218472e-11	NEW_GSE94335
SYNPO2	-1.02077231373532	4.34922821504053e-11	NEW_GSE94335
GLUL	-4.0714692121275	4.34922821504053e-11	NEW_GSE94335
FKBP5	-2.46976963446944	4.72716487794276e-11	NEW_GSE94335
IFIT1	0.892516728831276	4.86440301619104e-11	NEW_GSE94335
BIRC3	-0.965441423070221	5.18038893354265e-11	NEW_GSE94335
PDE5A	0.913762750076032	5.24265734850001e-11	NEW_GSE94335
SPEN	-0.769886613540569	5.24265734850001e-11	NEW_GSE94335
PTGIS	0.853153662788477	5.27405225482715e-11	NEW_GSE94335
SPRY2	-0.912935569481817	5.37010134681489e-11	NEW_GSE94335
OLFML1	0.785541319921566	6.70790517763582e-11	NEW_GSE94335
DOK6	0.872327095708138	6.73793291481748e-11	NEW_GSE94335
ADRA2A	3.12297221432794	6.74532120453569e-11	NEW_GSE94335
NUDT16	-0.658269630735059	6.81683334576752e-11	NEW_GSE94335
CDC42SE2	-0.78987368613253	7.0480542590279e-11	NEW_GSE94335
TNFRSF11B	2.52707225955571	7.72959844875866e-11	NEW_GSE94335
WDR26	-1.16750807117027	7.95148867933931e-11	NEW_GSE94335
ERRFI1	-1.32882546177829	8.18581822285492e-11	NEW_GSE94335
NR3C1	0.64265953437143	8.35206952467574e-11	NEW_GSE94335
AASS	-1.0595729765338	9.31106085912761e-11	NEW_GSE94335
ZNF521	0.655988216277792	9.40789765539027e-11	NEW_GSE94335
MTOR	-0.675388729498329	9.52227167818723e-11	NEW_GSE94335
FNDC3A	-1.10166909800394	9.84061772760735e-11	NEW_GSE94335
STIM2	0.776099513305498	1.01391426869124e-10	NEW_GSE94335
TSPAN8	-4.00925980089564	1.01611500366999e-10	NEW_GSE94335
NUP93	-0.689312197388864	1.05930919283991e-10	NEW_GSE94335
HUNK	1.38440430858066	1.06266576140727e-10	NEW_GSE94335
ADAMTS15	-1.0042714803895	1.06266576140727e-10	NEW_GSE94335
RNF157	-0.901016660231716	1.14854219096338e-10	NEW_GSE94335
TCEAL1	-0.804358533959182	1.16388710598787e-10	NEW_GSE94335
USP53	-1.27071055545915	1.26280344071018e-10	NEW_GSE94335
EPHB2	1.20219256974266	1.44311917431388e-10	NEW_GSE94335
GRB14	-1.62296090271513	1.58020252586491e-10	NEW_GSE94335
FAM107A	-4.40988798756665	1.62439975240087e-10	NEW_GSE94335
STX12	-0.626521051151157	1.68685820406735e-10	NEW_GSE94335
LAMA3	-1.63091764158538	1.68685820406735e-10	NEW_GSE94335
NA	0.928742417461791	1.7475887126979e-10	NEW_GSE94335
SLC16A12	-1.4603299441811	1.86413506159137e-10	NEW_GSE94335
CPA4	2.12309460357004	1.87111994158688e-10	NEW_GSE94335
TSC22D3	-5.61851140409527	1.87148316177019e-10	NEW_GSE94335
PDE5A	1.03957877736158	1.91380055617705e-10	NEW_GSE94335
NA	-0.631568380231084	1.9856081921254e-10	NEW_GSE94335
